Line Number,Source,Target
230,MA_NorthWindDB.dbo.Orders.ShipAddress,MA_NorthWindDB.dbo.Orders_1998_Extract.ShipAddress
230,MA_NorthWindDB.dbo.Orders.ShipCity,MA_NorthWindDB.dbo.Orders_1998_Extract.ShipCity
230,MA_NorthWindDB.dbo.Orders.ShipRegion,MA_NorthWindDB.dbo.Orders_1998_Extract.ShipRegion
230,MA_NorthWindDB.dbo.Orders.ShipPostalCode,MA_NorthWindDB.dbo.Orders_1998_Extract.ShipPostalCode
230,MA_NorthWindDB.dbo.Orders.ShipCountry,MA_NorthWindDB.dbo.Orders_1998_Extract.ShipCountry
230,MA_NorthWindDB.dbo.Orders.ShipAddress,MA_NorthWindDB.dbo.Orders_1998_Extract.ShipAddressConcat
230,MA_NorthWindDB.dbo.Orders.ShipCity,MA_NorthWindDB.dbo.Orders_1998_Extract.ShipAddressConcat
230,MA_NorthWindDB.dbo.Orders.ShipRegion,MA_NorthWindDB.dbo.Orders_1998_Extract.ShipAddressConcat
230,MA_NorthWindDB.dbo.Orders.ShipPostalCode,MA_NorthWindDB.dbo.Orders_1998_Extract.ShipAddressConcat
230,MA_NorthWindDB.dbo.Orders.ShipCountry,MA_NorthWindDB.dbo.Orders_1998_Extract.ShipAddressConcat
262,MA_NorthWindDB.dbo.Products.ProductID,MA_NorthWindDB.dbo.Products_Extract.ProductID
262,MA_NorthWindDB.dbo.Products.ProductName,MA_NorthWindDB.dbo.Products_Extract.ProductName
262,MA_NorthWindDB.dbo.Products.QuantityPerUnit,MA_NorthWindDB.dbo.Products_Extract.beverage
262,MA_NorthWindDB.dbo.Products.SupplierID,MA_NorthWindDB.dbo.Products_Extract.SupplierID
262,MA_NorthWindDB.dbo.Products.CategoryID,MA_NorthWindDB.dbo.Products_Extract.CategoryID
262,MA_NorthWindDB.dbo.Products.QuantityPerUnit,MA_NorthWindDB.dbo.Products_Extract.QuantityPerUnit
262,MA_NorthWindDB.dbo.Products.UnitPrice,MA_NorthWindDB.dbo.Products_Extract.UnitPrice
262,MA_NorthWindDB.dbo.Products.UnitsInStock,MA_NorthWindDB.dbo.Products_Extract.StockShortage
262,MA_NorthWindDB.dbo.Products.UnitsOnOrder,MA_NorthWindDB.dbo.Products_Extract.StockShortage
262,MA_NorthWindDB.dbo.Products.UnitsInStock,MA_NorthWindDB.dbo.Products_Extract.UnitsInStock
262,MA_NorthWindDB.dbo.Products.UnitsOnOrder,MA_NorthWindDB.dbo.Products_Extract.UnitsOnOrder
262,MA_NorthWindDB.dbo.Products.ReorderLevel,MA_NorthWindDB.dbo.Products_Extract.ReorderLevel
262,MA_NorthWindDB.dbo.Products.Discontinued,MA_NorthWindDB.dbo.Products_Extract.Discontinued
270,MA_NorthWindDB.dbo.Region.RegionID,MA_NorthWindDB.dbo.Region_Extract.RegionID
270,MA_NorthWindDB.dbo.Region.RegionDescription,MA_NorthWindDB.dbo.Region_Extract.RegionDescription
278,MA_NorthWindDB.dbo.Suppliers.SupplierID,MA_NorthWindDB.dbo.Suppliers_Extract.SupplierID
278,MA_NorthWindDB.dbo.Suppliers.CompanyName,MA_NorthWindDB.dbo.Suppliers_Extract.CompanyName
278,MA_NorthWindDB.dbo.Suppliers.ContactName,MA_NorthWindDB.dbo.Suppliers_Extract.ContactName
278,MA_NorthWindDB.dbo.Suppliers.ContactTitle,MA_NorthWindDB.dbo.Suppliers_Extract.ContactTitle
278,MA_NorthWindDB.dbo.Suppliers.Address,MA_NorthWindDB.dbo.Suppliers_Extract.Address
278,MA_NorthWindDB.dbo.Suppliers.City,MA_NorthWindDB.dbo.Suppliers_Extract.City
278,MA_NorthWindDB.dbo.Suppliers.Region,MA_NorthWindDB.dbo.Suppliers_Extract.Region
278,MA_NorthWindDB.dbo.Products.PostalCode,MA_NorthWindDB.dbo.Suppliers_Extract.PostalCode
278,MA_NorthWindDB.dbo.Products.Country,MA_NorthWindDB.dbo.Suppliers_Extract.Country
278,MA_NorthWindDB.dbo.Products.Phone,MA_NorthWindDB.dbo.Suppliers_Extract.Phone
278,MA_NorthWindDB.dbo.Products.Fax,MA_NorthWindDB.dbo.Suppliers_Extract.Fax
289,MA_NorthWindDB.dbo.Shippers.ShipperID,MA_NorthWindDB.dbo.Shippers_Extract.ShipperID
289,MA_NorthWindDB.dbo.Shippers.CompanyName,MA_NorthWindDB.dbo.Shippers_Extract.CompanyName
289,MA_NorthWindDB.dbo.Shippers.Phone,MA_NorthWindDB.dbo.Shippers_Extract.Phone
298,MA_NorthWindDB.dbo.Territories.TerritoryID,MA_NorthWindDB.dbo.Territories_Extract.TerritoryID
298,MA_NorthWindDB.dbo.Territories.TerritoryDescription,MA_NorthWindDB.dbo.Territories_Extract.TerritoryDescription
298,MA_NorthWindDB.dbo.Territories.RegionID,MA_NorthWindDB.dbo.Territories_Extract.RegionID
