DB|Table|Concat|ID||||||||
MA_DemoDB_01|Orders_1996_Extract.csv|MA_DemoDB_01Orders_1996_Extract.csv|202||||||||
MA_DemoDB_01|Orders_1997_Extract.csv|MA_DemoDB_01Orders_1997_Extract.csv|203||||||||
MA_DemoDB_01|Orders_1998_Extract.csv|MA_DemoDB_01Orders_1998_Extract.csv|204||||||||
MA_DemoDB_01|Orders_Extract.csv|MA_DemoDB_01Orders_Extract.csv|205||||||||
MA_DemoDB_01|Products_Extract.csv|MA_DemoDB_01Products_Extract.csv|206||||||||
MA_DemoDB_01|Region_Extract.csv|MA_DemoDB_01Region_Extract.csv|207||||||||
MA_DemoDB_01|Shippers_Extract.csv|MA_DemoDB_01Shippers_Extract.csv|208||||||||
MA_DemoDB_01|Suppliers_Extract.csv|MA_DemoDB_01Suppliers_Extract.csv|209||||||||
MA_DemoDB_01|Territories_Extract.csv|MA_DemoDB_01Territories_Extract.csv|210||||||||
MA_DemoDB_01|DIM_Supplier|MA_DemoDB_01DIM_Supplier|211||||||||
MA_DemoDB_01|DIM_Product|MA_DemoDB_01DIM_Product|212||||||||
MA_DemoDB_01|DIM_Customer|MA_DemoDB_01DIM_Customer|213||||||||
MA_DemoDB_01|DIM_Employee|MA_DemoDB_01DIM_Employee|214||||||||
MA_DemoDB_01|FCT_Order|MA_DemoDB_01FCT_Order|215||||||||
MA_DemoDB_01|DIM_Time|MA_DemoDB_01DIM_Time|216||||||||
MA_DemoDM01|[Order Details]|MA_DemoDM01[Order Details]|217||||||||
MA_DemoDM01|Categories|MA_DemoDM01Categories|218||||||||
MA_DemoDM01|Categories_Extract|MA_DemoDM01Categories_Extract|219||||||||
MA_DemoDM01|Customers|MA_DemoDM01Customers|220||||||||
MA_DemoDM01|Customers_Extract|MA_DemoDM01Customers_Extract|221||||||||
MA_DemoDM01|Employees|MA_DemoDM01Employees|222||||||||
MA_DemoDM01|Employees_Extract|MA_DemoDM01Employees_Extract|223||||||||
